"Card No","Date","Order No.","ATS client","Request No.","Description","Actual Completion","Estim Completion","Pending days","Status"
"8227","2017-04-05","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 05-04-17","compressive strength of concrete cube","2017-04-05","","0","Job_Completed"
"8226","2017-04-05","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 05-04-2017","compressive strength of concrete cube","2017-04-05","","0","Job_Completed"
"8225","2017-04-04","Riham","Riham General Trading and Contracting (W.L.L)","email dt. 1/4/2017","Inspection of light weight concrete mixer","2017-04-04","","0","Job_Completed"
"8224","2017-04-04","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 04-04-2017","compressive strength of concrete cube","2017-04-04","","0","Job_Completed"
"8223","2017-04-04","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 04-04-2017","compressive strength of concrete cube","2017-04-04","","0","Job_Completed"
"8222","2017-04-04","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 04-04-2017","compressive strength of concrete cube","2017-04-04","","0","Job_Completed"
"8221","2017-04-04","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","","P-247 04-04-2017","compressive strength of concrete cube","2017-04-04","","0","Job_Completed"
"8220","2017-04-04","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 04-04-2017","compressive strength of concrete cube","2017-04-04","","0","Job_Completed"
"8219","2017-04-03","HAH-01","HAMAD AL HAMAD","NDT/25975","PWHT & UT","2017-03-28","","0","Pending"
"8218","2017-04-03","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 03-04-2017","compressive strength of concrete cube","2017-04-03","","0","Job_Completed"
"8217","2017-04-03","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 03-04-17","SOIL CLASS, SIEVE ANALYSIS, ATTERBERG, PROCTO","2017-04-20","","0","Job_Completed"
"8216","2017-04-03","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 03-04-2017","COMPRESSIVE STRENGTH OF SAND LIME BRICKS & WA","","","0","Ongoing"
"8215","2017-04-03","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","002","chem test concrete","2017-04-15","","0","Pending"
"8214","2017-04-03","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA  03-04-2017","compressive strength of concrete cube","2017-04-03","","0","Job_Completed"
"8213","2017-04-03","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 03-04-2017","COMPRESSIVE STRENGTH OF SAND LIME BRICKS & WA","2017-04-03","","0","Job_Completed"
"8212","2017-04-03","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 03-04-2017","compressive strength of concrete cube","2017-04-03","","0","Job_Completed"
"8211","2017-04-03","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 03-04-2017","compressive strength of concrete cube","2017-04-03","","0","Job_Completed"
"8210","2017-04-03","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 03-04-17","CSC","2017-04-03","","0","Job_Completed"
"8209","2017-04-03","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 03-04-2017","COMPRESSIVE STRENGTH OF COVER BLOCK","2017-04-02","","0","Job_Completed"
"8208","2017-04-03","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 03-04-2017","compressive strength of concrete cube","2017-04-03","","0","Job_Completed"
"8207","2017-04-02","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","email dated 12-03-2017","WATER ABSORPTION TEST","2017-03-15","","0","Job_Completed"
"8206","2017-04-02","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 02-04-17","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8205","2017-04-02","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 02-04-2017","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8204","2017-04-02","BAK-01","BAHAR AL KHALEEJ TRADING COMPANY","Verbal","calibration","2017-04-02","","0","Pending"
"8203","2017-04-02","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 02-04-2017","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8202","2017-04-02","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 02-04-2017","compressive strength of concrete cube","","","0","Unauthorised"
"8201","2017-04-02","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 02-04-2017","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8200","2017-04-02","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 02-04-2017","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8199","2017-04-02","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 02-04-2017","compressive strength of concrete cube","2017-04-02","","0","Job_Completed"
"8198","2017-04-01","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 01-04-2017","compressive strength of concrete cube","2017-04-01","","0","Job_Completed"
"8197","2017-04-01","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 01-04-17","compressive strength of concrete cube","2017-04-01","","0","Job_Completed"
"8196","2017-04-01","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 01-04-201","compressive strength of concrete cube","2017-04-01","","0","Job_Completed"
"8195","2017-04-01","EQUATE 80000069","EQUATE PETROCHEMICAL COMPANY","wron5016991","PMI OLK-F-270","2017-04-05","","0","invoiced"
"8194","2017-04-01","CPVN","","Email","Ndt test for Rig Equipments","2017-03-21","","0","Pending"
"8193","2017-04-01","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 01-04-2017","compressive strength of concrete cube","2017-04-01","","0","Job_Completed"
"8192","2017-04-01","AGI-ZOR/ALG/ATS/SA-006/2016","Alghanim International General Trading and Co","email dated 19-03-2017","sieve analysis, proctor value, atterberg limi","2017-03-26","","0","Job_Completed"
"8191","2017-04-01","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 01-04-2017","compressive strength of concrete cube","2017-04-01","","0","Job_Completed"
"8190","2017-03-30","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 30-03-17","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8189","2017-03-30","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 30-03-17","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8188","2017-03-30","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 30-03-2017","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8187","2017-03-30","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 30-03-17","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8186","2017-03-30","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 30-03-2017","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8185","2017-03-30","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 26-03-2017","compressive strength of concrete cube","2017-03-30","","0","Job_Completed"
"8184","2017-03-30","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247  30-03-2017","PROCTOR TEST","2017-04-03","","0","Job_Completed"
"8183","2017-03-29","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 29-3-17","CSC","2017-03-29","","0","Job_Completed"
"8182","2017-03-29","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 29-03-17","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8181","2017-03-29","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 29-03-2017","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8180","2017-03-29","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 29-03-17","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8179","2017-03-29","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 29-03-17","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8178","2017-03-29","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 29-03-17","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8177","2017-03-29","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 29-03-2017","compressive strength of concrete cube","2017-03-29","","0","Job_Completed"
"8176","2017-03-28","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8175","2017-03-28","AGI-ZOR/ALG/ATS/SA-006/2016","Alghanim International General Trading and Co","VERBAL REQUEST DATED 26-3-17","proctor value of soils","2017-03-27","","0","Job_Completed"
"8174","2017-03-28","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 28-03-17","COMPRESSIVE STRENGTH OF SAND LIME BRICKS & WA","2017-03-28","","0","Job_Completed"
"8173","2017-03-28","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8172","2017-03-28","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8171","2017-03-28","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8170","2017-03-28","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8169","2017-03-28","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 28-03-17","compressive strength of concrete cube","2017-03-28","","0","Job_Completed"
"8168","2017-03-27","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 27-03-17","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8167","2017-03-27","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 27-03-2017","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8166","2017-03-27","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 27-03-17","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8165","2017-03-27","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 27-03-17","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8164","2017-03-27","GS Engineering","GS Engineering and Construction","E-mail dt. 23-03-17","Calibration","","","0","Job_Completed"
"8163","2017-03-27","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 27-03-17","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8162","2017-03-27","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG  27-03-2017","compressive strength of concrete cube","2017-03-27","","0","Job_Completed"
"8161","2017-03-26","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 26-03-17","SOIL CLASSIFICATION  SIEVE ANALYSIS, PROCTOR,","2017-04-01","","0","Job_Completed"
"8160","2017-03-26","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 26-03-2017","COMPRESSIVE STRENGTH OF SAND LIME BRICKS & WA","","","0","Hold"
"8159","2017-03-26","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 26-03-17","compressive strength of concrete cube","2017-03-26","","0","Job_Completed"
"8158","2017-03-26","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 26-03-2017","compressive strength of concrete cube","2017-03-26","","0","Job_Completed"
"8157","2017-03-26","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 26-03-17","Compressive strength of concrete cube","2017-03-26","","0","Job_Completed"
"8156","2017-03-26","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 26-03-2017","compressive strength of concrete cube","2017-03-26","","0","Job_Completed"
"8155","2017-03-25","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8154","2017-03-25","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8153","2017-03-25","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","G-29 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8152","2017-03-25","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8151","2017-03-25","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8150","2017-03-25","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 25-03-17","compressive strength of concrete cube","2017-03-25","","0","Job_Completed"
"8149","2017-03-23","EQUATE 80000069","EQUATE PETROCHEMICAL COMPANY","WRON5016808/21.03.2017","LPK-E-8225B","2017-03-31","","0","invoiced"
"8148","2017-03-23","EQUATE 80000069","EQUATE PETROCHEMICAL COMPANY","WRON5016747/19.03/2017","PMI sty-g-1413","2017-03-30","","0","invoiced"
"8147","2017-03-23","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 23-03-2017","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8146","2017-03-23","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 23-03-17","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8145","2017-03-23","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 23-03-17","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8144","2017-03-23","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250  23-03-2017","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8143","2017-03-23","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 23-03-17","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8142","2017-03-23","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 23-03-17","compressive strength of concrete cube","2017-03-23","","0","Job_Completed"
"8141","2017-03-23","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","VERBAL ORDER DATED16-03-2017","PHYSICAL,CHEMICAL & BIOLOGICAL TESTS ON WATER","2017-03-28","","0","Job_Completed"
"8140","2017-03-22","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 22-03-2017","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8139","2017-03-22","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 22-03-17","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8138","2017-03-22","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA  22-03-2017","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8137","2017-03-22","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 22-03-17","COMPRESSIVE STRENGTH OF SOLID BLOCKS","2017-03-21","","0","Job_Completed"
"8136","2017-03-22","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 22-03-2017","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8135","2017-03-22","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 22-03-2017","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8134","2017-03-22","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 22-03-17","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8133","2017-03-22","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 22-03-2017","compressive strength of concrete cube","2017-03-22","","0","Job_Completed"
"8132","2017-03-21","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29  21-03-17","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8131","2017-03-21","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 21-03-2017","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8130","2017-03-21","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 21-03-2017","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8129","2017-03-21","GS Engineering","GS Engineering and Construction","S.O No. GS-Tank-005","calibration","2017-03-20","","0","Job_Completed"
"8128","2017-03-21","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 21-03-2017","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8127","2017-03-21","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 21-03-17","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8126","2017-03-21","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 21-03-2017","compressive strength of concrete cube","2017-03-21","","0","Job_Completed"
"8125","2017-03-21","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","EMAIL DATED 18-03-2017","FIELD CBR","2017-03-15","","0","Job_Completed"
"8124","2017-03-20","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 20-03-17","compressive strength of concrete cube","2017-03-20","","0","Job_Completed"
"8123","2017-03-20","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 20-03-2017","compressive strength of concrete cube","2017-03-20","","0","Job_Completed"
"8122","2017-03-20","AGI-ZOR/ALG/ATS/SA-006/2016","Alghanim International General Trading and Co","ALG -20-03-17","SOIL CLASSFICATION SIEVE ANALYSIS, PROCTOR, A","2017-03-23","","0","Job_Completed"
"8121","2017-03-20","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG  20-03-17 SOIL","SOIL PROCTOR","2017-03-23","","0","Job_Completed"
"8120","2017-03-20","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 20-03-17","compressive strength of concrete cube","2017-03-20","","0","Job_Completed"
"8119","2017-03-20","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 20-03-17","compressive strength of concrete cube","2017-03-20","","0","Job_Completed"
"8118","2017-03-20","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA  20-03-17","compressive strength of concrete cube","2017-03-20","","0","Job_Completed"
"8117","2017-03-19","GS Engineering","GS Engineering and Construction","S.O No. GS-Tank-005","CALIBRATION","2017-03-18","","0","Job_Completed"
"8116","2017-03-19","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 19-03-2017","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8115","2017-03-19","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 19-03-17","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8114","2017-03-19","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 19-03-17","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8113","2017-03-19","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 19-03-2017","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8112","2017-03-19","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 19-03-2017","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8111","2017-03-19","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 19-03-17","compressive strength of concrete cube","2017-03-19","","0","Job_Completed"
"8110","2017-03-18","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","EMAIL DATED 16-3-17","CSC","2017-03-18","","0","Job_Completed"
"8109","2017-03-18","EQUATE 80000069","EQUATE PETROCHEMICAL COMPANY","WRON 5016741/18.03.2017","ET -OLK-E-309","","","0","Pending"
"8108","2017-03-18","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 18-03-17","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8107","2017-03-18","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 18-03-17","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8106","2017-03-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247 18-03-17","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8105","2017-03-18","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 18-03-17","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8104","2017-03-18","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 18-03-2017","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8103","2017-03-18","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 18-03-17","compressive strength of concrete cube","2017-03-18","","0","Job_Completed"
"8102","2017-03-18","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","email dated 12-03-2017","standard deviation","2017-03-18","","0","Job_Completed"
"8101","2017-03-18","GS Engineering","GS Engineering and Construction","S.O No. GS-Tank-005","Calibration","2017-03-16","","0","Job_Completed"
"8100","2017-03-16","Golden Ewan-01","Golden Eiwan General Trading & Contracting","email dt. 08-03-17","RA 210 Project - Material tes","","","0","Ongoing"
"8099","2017-03-16","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 16-03-2017","compressive strength of concrete cube","2017-03-16","","0","Job_Completed"
"8098","2017-03-16","NBTC JI-2031/003-002 (NBTC PROJECT NO P250)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-250 16-03-2017","compressive strength of concrete cube","2017-03-16","","0","Job_Completed"
"8097","2017-03-16","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 16-03-17","compressive strength of concrete cube","2017-03-16","","0","Job_Completed"
"8096","2017-03-16","NBTC JI-2031/003-002 (NBTC PROJECT NO P247)","NASSER M.AL-BADDAH AND PARTNER GENERAL TRADIN","P-247  16-03-2017","compressive strength of concrete cube","2017-03-16","","0","Job_Completed"
"8095","2017-03-15","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","GC-29 15-03-2017","compressive strength of concrete cube","2017-03-15","","0","Job_Completed"
"8094","2017-03-15","HEISCO SC16420000/B/004 -KNPC MAA","Heavy Engineering Industries & Shipbuilding C","MAA 15-03-17","compressive strength of concrete cube","2017-03-04","","0","Job_Completed"
"8093","2017-03-15","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","GC-30 15-03-17","compressive strength of concrete cube","2017-03-15","","0","Job_Completed"
"8092","2017-03-15","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","ALG 15-03-17","compressive strength of concrete cube","2017-03-15","","0","Job_Completed"
